"id","window_start","window_end","window_setting","number_of_cores","number_of_threads","latency","throughput","created_at"
57,"1762956420","1762956480","tumbling_1 minutes","4","1","0.418","160.28708","2025-11-12 14:08:01.284759+00"
58,"1762956480","1762956540","tumbling_1 minutes","4","1","0.5","132","2025-11-12 14:09:00.876721+00"
59,"1762956540","1762956600","tumbling_1 minutes","4","1","0.328","204.2683","2025-11-12 14:10:01.109471+00"
60,"1762956600","1762956660","tumbling_1 minutes","4","1","0.164","402.43903","2025-11-12 14:11:00.452264+00"
61,"1762956660","1762956720","tumbling_1 minutes","4","1","0.353","189.8017","2025-11-12 14:12:01.049028+00"
62,"1762956720","1762956780","tumbling_1 minutes","4","1","0.632","104.43038","2025-11-12 14:13:00.824256+00"
63,"1762956780","1762956840","tumbling_1 minutes","4","1","0.55","121.818184","2025-11-12 14:14:01.157761+00"
64,"1762956840","1762956900","tumbling_1 minutes","4","1","0.696","94.82758","2025-11-12 14:15:00.804127+00"
65,"1762956900","1762956960","tumbling_1 minutes","4","1","0.266","251.8797","2025-11-12 14:16:00.777274+00"
66,"1762956960","1762957020","tumbling_1 minutes","4","1","0.37","181.08109","2025-11-12 14:17:01.287171+00"
67,"1762957020","1762957080","tumbling_1 minutes","4","1","0.445","148.3146","2025-11-12 14:18:00.867375+00"
68,"1762957080","1762957140","tumbling_1 minutes","4","1","0.488","137.29507","2025-11-12 14:19:01.316209+00"
69,"1762957140","1762957200","tumbling_1 minutes","4","1","1.278","51.643192","2025-11-12 14:20:01.608116+00"
70,"1762957200","1762957260","tumbling_1 minutes","4","1","0.602","111.295685","2025-11-12 14:21:01.339917+00"
71,"1762957260","1762957320","tumbling_1 minutes","4","1","0.329","200.60791","2025-11-12 14:22:00.565764+00"
72,"1762957320","1762957380","tumbling_1 minutes","4","1","0.42","159.5238","2025-11-12 14:23:01.057981+00"
73,"1762957380","1762957440","tumbling_1 minutes","4","1","0.42","157.14285","2025-11-12 14:24:00.573636+00"
74,"1762957440","1762957500","tumbling_1 minutes","4","1","0.269","249.07063","2025-11-12 14:25:00.823567+00"
75,"1762957500","1762957560","tumbling_1 minutes","4","1","0.592","111.48649","2025-11-12 14:26:00.648022+00"
76,"1762957560","1762957620","tumbling_1 minutes","4","1","0.149","449.66443","2025-11-12 14:27:00.617361+00"
77,"1762957620","1762957680","tumbling_1 minutes","4","1","0.532","125.93985","2025-11-12 14:28:01.406717+00"
78,"1762957680","1762957740","tumbling_1 minutes","4","1","0.516","127.906975","2025-11-12 14:29:00.888194+00"
79,"1762957740","1762957800","tumbling_1 minutes","4","1","0.213","314.554","2025-11-12 14:30:00.985059+00"
80,"1762957800","1762957860","tumbling_1 minutes","4","1","0.29","227.58621","2025-11-12 14:31:00.567728+00"
81,"1762957860","1762957920","tumbling_1 minutes","4","1","0.191","350.78534","2025-11-12 14:32:00.880891+00"
82,"1762957920","1762957980","tumbling_1 minutes","4","1","0.118","559.322","2025-11-12 14:33:00.302773+00"
83,"1762957980","1762958040","tumbling_1 minutes","4","1","0.637","105.180534","2025-11-12 14:34:01.246545+00"
84,"1762958040","1762958100","tumbling_1 minutes","4","1","0.84","78.57143","2025-11-12 14:35:00.972358+00"
85,"1762958100","1762958160","tumbling_1 minutes","4","1","0.164","408.5366","2025-11-12 14:36:00.700458+00"
86,"1762958160","1762958220","tumbling_1 minutes","4","1","0.125","528","2025-11-12 14:37:00.171438+00"
87,"1762958220","1762958280","tumbling_1 minutes","4","1","0.235","285.10638","2025-11-12 14:38:00.69642+00"
88,"1762958280","1762958340","tumbling_1 minutes","4","1","0.581","115.31841","2025-11-12 14:39:01.445787+00"
89,"1762958340","1762958400","tumbling_1 minutes","4","1","0.346","190.75145","2025-11-12 14:40:00.708059+00"
90,"1762958400","1762958460","tumbling_1 minutes","4","1","0.175","382.85715","2025-11-12 14:41:00.946945+00"
91,"1762958460","1762958520","tumbling_1 minutes","4","1","0.343","192.41983","2025-11-12 14:42:00.632843+00"
92,"1762958520","1762958580","tumbling_1 minutes","4","1","0.41","163.41463","2025-11-12 14:43:01.108596+00"
93,"1762958580","1762958640","tumbling_1 minutes","4","1","0.267","247.19101","2025-11-12 14:44:00.453376+00"
94,"1762958640","1762958700","tumbling_1 minutes","4","1","0.575","116.521736","2025-11-12 14:45:01.15651+00"
95,"1762958700","1762958760","tumbling_1 minutes","4","1","0.721","91.53953","2025-11-12 14:46:00.804664+00"
96,"1762958760","1762958820","tumbling_1 minutes","4","1","0.167","401.1976","2025-11-12 14:47:00.662381+00"
97,"1762958820","1762958880","tumbling_1 minutes","4","1","0.222","301.8018","2025-11-12 14:48:01.129785+00"
98,"1762958880","1762958940","tumbling_1 minutes","4","1","0.311","212.21864","2025-11-12 14:49:00.727776+00"
99,"1762958940","1762959000","tumbling_1 minutes","4","1","0.529","126.65407","2025-11-12 14:50:01.347202+00"
100,"1762959000","1762959060","tumbling_1 minutes","4","1","0.469","140.72495","2025-11-12 14:51:00.784745+00"
101,"1762959060","1762959120","tumbling_1 minutes","4","1","0.203","330.04926","2025-11-12 14:52:00.929849+00"
102,"1762959120","1762959180","tumbling_1 minutes","4","1","0.293","225.25597","2025-11-12 14:53:00.536481+00"
103,"1762959180","1762959240","tumbling_1 minutes","4","1","0.827","81.01572","2025-11-12 14:54:01.468093+00"
104,"1762959240","1762959300","tumbling_1 minutes","4","1","0.352","187.5","2025-11-12 14:55:00.490228+00"
105,"1762959300","1762959360","tumbling_1 minutes","4","1","0.928","72.19827","2025-11-12 14:56:01.491637+00"
106,"1762959360","1762959420","tumbling_1 minutes","4","1","0.381","173.22835","2025-11-12 14:57:00.433627+00"
107,"1762959420","1762959480","tumbling_1 minutes","4","1","0.757","88.50726","2025-11-12 14:58:01.212554+00"
108,"1762959480","1762959540","tumbling_1 minutes","4","1","0.342","195.90643","2025-11-12 14:59:01.194842+00"
109,"1762959540","1762959600","tumbling_1 minutes","4","1","0.553","119.34901","2025-11-12 15:00:00.908614+00"
110,"1762959600","1762959660","tumbling_1 minutes","4","1","0.684","97.95322","2025-11-12 15:01:01.441204+00"
111,"1762959660","1762959720","tumbling_1 minutes","4","1","0.431","153.13225","2025-11-12 15:02:00.70119+00"
112,"1762959720","1762959780","tumbling_1 minutes","4","1","1.263","53.048298","2025-11-12 15:03:01.923302+00"
113,"1762959780","1762959840","tumbling_1 minutes","4","1","0.883","74.745186","2025-11-12 15:04:01.048533+00"
114,"1762959840","1762959900","tumbling_1 minutes","4","1","0.377","177.71883","2025-11-12 15:05:00.934336+00"
115,"1762959900","1762959960","tumbling_1 minutes","4","1","1.455","45.360825","2025-11-12 15:06:01.521054+00"
116,"1762959960","1762960020","tumbling_1 minutes","4","1","0.478","140.16736","2025-11-12 15:07:00.950202+00"
117,"1762960020","1762960080","tumbling_1 minutes","4","1","0.694","96.54179","2025-11-12 15:08:01.564798+00"
118,"1762960080","1762960140","tumbling_1 minutes","4","1","0.192","343.75","2025-11-12 15:09:00.565758+00"
119,"1762960140","1762960200","tumbling_1 minutes","4","1","0.326","205.52147","2025-11-12 15:10:01.105784+00"
